frame,time_s,track_id,cls_id,cls_name,conf,x1,y1,x2,y2
47,1.568233,375,2,helmet,0.517171,105.43,169.26,122.08,182.48
47,1.568233,33,0,person,0.704877,259.14,151.01,306.00,320.94
47,1.568233,197,0,person,0.798315,203.43,161.72,264.58,322.80
47,1.568233,360,0,person,0.835473,172.04,154.38,219.51,329.88
47,1.568233,380,76,gloves,0.517088,306.64,225.52,319.22,235.86
48,1.601600,369,2,helmet,0.695896,221.21,162.53,243.05,178.72
48,1.601600,370,2,helmet,0.470589,178.74,154.96,203.18,173.44
48,1.601600,371,2,helmet,0.611167,292.54,146.53,312.50,165.66
48,1.601600,372,0,person,0.633788,294.55,157.59,332.71,315.64
48,1.601600,373,2,helmet,0.627371,270.69,151.80,291.69,167.43
48,1.601600,374,2,helmet,0.604274,296.07,157.31,319.06,172.93
48,1.601600,375,2,helmet,0.521999,104.41,169.81,121.22,183.14
48,1.601600,33,0,person,0.712382,259.08,151.59,305.99,321.58
48,1.601600,197,0,person,0.796156,203.15,162.46,263.94,323.55
48,1.601600,360,0,person,0.839027,171.43,154.88,218.92,330.45
48,1.601600,380,76,gloves,0.564283,306.52,226.33,318.84,236.59
49,1.634967,369,2,helmet,0.712645,220.84,163.16,243.05,179.48
49,1.634967,370,2,helmet,0.425272,178.56,155.41,202.47,173.63
49,1.634967,371,2,helmet,0.610005,292.37,147.20,312.41,166.33
49,1.634967,372,0,person,0.648332,294.50,158.12,332.58,315.96
49,1.634967,373,2,helmet,0.629907,270.67,152.32,291.51,167.78
49,1.634967,374,2,helmet,0.679204,295.31,157.92,318.62,173.69
49,1.634967,375,2,helmet,0.596682,103.62,170.16,120.43,183.46
49,1.634967,33,0,person,0.722690,258.38,152.09,305.47,322.26
49,1.634967,197,0,person,0.812534,203.09,163.08,263.70,324.27
49,1.634967,360,0,person,0.839604,170.85,155.33,218.44,331.21
49,1.634967,380,76,gloves,0.609643,306.51,226.69,318.91,237.18
50,1.668333,369,2,helmet,0.707185,220.36,163.54,242.87,179.92
50,1.668333,370,2,helmet,0.453578,178.51,155.81,202.05,173.90
50,1.668333,371,2,helmet,0.586614,292.41,147.70,312.40,166.67
50,1.668333,372,0,person,0.654651,294.50,158.68,332.24,315.17
50,1.668333,373,2,helmet,0.649797,270.61,152.74,291.41,168.13
50,1.668333,374,2,helmet,0.706762,295.07,158.62,318.33,174.29
50,1.668333,375,2,helmet,0.606768,102.68,170.82,119.41,184.01
50,1.668333,33,0,person,0.731786,257.85,152.50,305.15,322.97
50,1.668333,197,0,person,0.827493,202.71,163.45,263.20,325.00
50,1.668333,360,0,person,0.852372,170.65,155.56,218.17,331.34
50,1.668333,380,76,gloves,0.557970,306.49,227.52,318.59,237.92
51,1.701700,369,2,helmet,0.726919,219.82,164.01,242.82,180.63
51,1.701700,370,2,helmet,0.408548,178.43,156.06,201.52,173.94
51,1.701700,371,2,helmet,0.561266,292.36,148.42,312.47,167.40
51,1.701700,372,0,person,0.671469,294.21,159.18,332.15,316.52
51,1.701700,373,2,helmet,0.682054,270.48,153.49,291.24,168.75
51,1.701700,374,2,helmet,0.703935,294.70,159.15,318.22,174.98
51,1.701700,375,2,helmet,0.627427,101.67,171.26,118.50,184.50
51,1.701700,33,0,person,0.735840,257.92,153.25,305.23,323.59
51,1.701700,197,0,person,0.821865,202.30,163.93,262.61,325.70
51,1.701700,360,0,person,0.844011,170.40,155.72,218.04,332.05
51,1.701700,380,76,gloves,0.582027,306.03,227.79,318.43,238.67
52,1.735067,369,2,helmet,0.716300,219.54,164.40,242.74,181.01
52,1.735067,370,2,helmet,0.478843,178.80,156.63,200.31,173.25
52,1.735067,371,2,helmet,0.581156,292.25,149.05,312.52,168.12
52,1.735067,372,0,person,0.668550,293.55,159.44,331.84,318.20
52,1.735067,373,2,helmet,0.686041,269.86,153.89,291.13,169.46
52,1.735067,374,2,helmet,0.692935,293.93,159.48,318.26,175.88
52,1.735067,375,2,helmet,0.562655,100.58,172.01,117.23,185.06
52,1.735067,33,0,person,0.741783,257.88,153.68,305.27,324.29
52,1.735067,197,0,person,0.825636,202.10,164.32,262.31,326.36
52,1.735067,360,0,person,0.845256,169.90,156.34,217.61,332.83
52,1.735067,380,76,gloves,0.504406,305.68,227.96,318.25,239.22
53,1.768433,369,2,helmet,0.706865,219.35,164.82,242.63,181.31
53,1.768433,370,2,helmet,0.480679,178.48,157.33,199.71,173.80
53,1.768433,371,2,helmet,0.593141,292.03,149.59,312.69,168.99
53,1.768433,372,0,person,0.676764,293.19,159.84,331.60,318.72
53,1.768433,373,2,helmet,0.684867,269.53,154.29,290.97,169.93
53,1.768433,374,2,helmet,0.645033,293.22,159.93,318.12,176.77
53,1.768433,375,2,helmet,0.559905,99.36,172.65,116.27,185.86
53,1.768433,33,0,person,0.748117,257.51,154.10,304.99,324.85
53,1.768433,197,0,person,0.836395,201.82,164.73,261.91,326.91
53,1.768433,360,0,person,0.847792,169.57,157.02,217.26,333.26
53,1.768433,380,76,gloves,0.422965,304.94,227.99,317.93,239.89
54,1.801800,369,2,helmet,0.714774,219.12,165.12,242.70,181.64
54,1.801800,370,2,helmet,0.489053,178.63,158.07,199.25,174.04
54,1.801800,371,2,helmet,0.590135,292.08,150.15,312.40,169.13
54,1.801800,372,0,person,0.674368,293.18,160.05,331.57,318.65
54,1.801800,373,2,helmet,0.686086,269.52,154.59,290.81,170.04
54,1.801800,374,2,helmet,0.637591,293.07,160.33,317.96,177.21
54,1.801800,375,2,helmet,0.571057,98.58,173.45,115.07,186.24
54,1.801800,33,0,person,0.745532,257.11,154.37,304.74,325.54
54,1.801800,197,0,person,0.825778,201.61,165.05,261.58,327.36
54,1.801800,360,0,person,0.833714,169.39,157.70,217.04,333.66
54,1.801800,380,76,gloves,0.428744,304.95,228.93,317.48,240.63
55,1.835167,369,2,helmet,0.698300,218.63,165.55,242.74,182.31
55,1.835167,370,2,helmet,0.465807,179.23,158.64,198.66,173.58
55,1.835167,371,2,helmet,0.580787,292.33,150.45,312.15,168.79
55,1.835167,372,0,person,0.680573,293.27,160.63,331.49,318.15
55,1.835167,373,2,helmet,0.697560,269.73,155.04,290.73,170.16
55,1.835167,374,2,helmet,0.627110,293.04,160.84,317.71,177.65
55,1.835167,375,2,helmet,0.537746,97.52,174.07,113.83,186.66
55,1.835167,33,0,person,0.770572,256.75,154.81,304.50,326.14
55,1.835167,197,0,person,0.815099,201.37,165.49,261.12,327.77
55,1.835167,360,0,person,0.827255,169.28,158.26,216.89,333.98
55,1.835167,380,76,gloves,0.456369,304.91,229.88,316.89,241.19
56,1.868533,369,2,helmet,0.696479,218.11,165.84,243.07,183.13
56,1.868533,370,2,helmet,0.446703,179.59,159.47,198.01,173.46
56,1.868533,371,2,helmet,0.592533,291.96,150.87,312.11,169.41
56,1.868533,372,0,person,0.680167,292.75,161.04,331.34,319.98
56,1.868533,373,2,helmet,0.686804,269.54,155.60,290.37,170.50
56,1.868533,374,2,helmet,0.659584,292.40,161.25,317.65,178.56
56,1.868533,375,2,helmet,0.482482,96.51,174.46,112.59,186.87
56,1.868533,33,0,person,0.785887,256.57,155.22,304.37,326.66
56,1.868533,197,0,person,0.824348,201.25,165.77,260.89,328.13
56,1.868533,360,0,person,0.838384,168.79,159.14,216.40,334.55
56,1.868533,380,76,gloves,0.388099,304.31,230.13,316.56,241.84
56,1.868533,390,0,person,0.362518,289.56,150.16,341.64,241.27
57,1.901900,369,2,helmet,0.695081,218.15,166.36,243.06,183.53
57,1.901900,370,2,helmet,0.395874,179.22,159.89,198.48,174.50
57,1.901900,371,2,helmet,0.600702,291.20,151.24,312.24,170.60
57,1.901900,372,0,person,0.680733,292.19,161.42,331.10,321.54
57,1.901900,373,2,helmet,0.699220,269.46,156.02,290.23,170.78
57,1.901900,374,2,helmet,0.640609,292.06,161.81,317.14,179.09
57,1.901900,375,2,helmet,0.513333,95.86,174.59,111.53,186.67
57,1.901900,33,0,person,0.787075,256.10,155.56,303.92,327.08
57,1.901900,197,0,person,0.794721,201.07,166.25,260.53,328.58
57,1.901900,360,0,person,0.832633,168.40,159.57,216.12,335.25
57,1.901900,380,76,gloves,0.384890,303.85,231.00,315.95,242.66
57,1.901900,390,0,person,0.429081,289.52,150.49,342.03,242.39
58,1.935267,369,2,helmet,0.676760,218.39,166.91,243.00,183.74
58,1.935267,370,2,helmet,0.325071,179.15,160.08,198.17,174.48
58,1.935267,371,2,helmet,0.574823,290.59,151.46,312.04,171.26
58,1.935267,372,0,person,0.657909,292.12,161.73,330.95,321.44
58,1.935267,373,2,helmet,0.681695,269.25,156.53,290.03,171.21
58,1.935267,374,2,helmet,0.645764,291.88,162.19,316.74,179.39
58,1.935267,375,2,helmet,0.402596,95.46,174.61,110.57,186.28
58,1.935267,33,0,person,0.794301,255.80,155.86,303.68,327.47
58,1.935267,197,0,person,0.795998,200.25,166.40,259.69,329.55
58,1.935267,360,0,person,0.829588,168.08,159.73,215.89,335.77
58,1.935267,380,76,gloves,0.310919,303.09,231.81,314.95,243.25
58,1.935267,390,0,person,0.449478,289.20,150.77,342.00,243.20
59,1.968633,369,2,helmet,0.672793,218.57,167.37,242.99,183.95
59,1.968633,370,2,helmet,0.457879,179.28,160.17,197.49,173.80
59,1.968633,371,2,helmet,0.595982,290.07,151.70,311.91,171.92
59,1.968633,372,0,person,0.673245,291.74,161.86,330.45,320.96
59,1.968633,373,2,helmet,0.670339,268.70,156.79,289.92,171.74
59,1.968633,374,2,helmet,0.626819,291.32,162.41,316.39,179.88
59,1.968633,33,0,person,0.789663,255.31,156.16,303.29,327.94
59,1.968633,197,0,person,0.815009,199.97,166.67,259.22,329.94
59,1.968633,360,0,person,0.837984,167.64,159.80,215.53,336.25
59,1.968633,380,76,gloves,0.356764,303.01,231.59,315.04,243.52
59,1.968633,390,0,person,0.429967,288.87,151.05,341.76,243.69
60,2.002000,369,2,helmet,0.674317,218.45,167.64,243.22,184.39
60,2.002000,370,2,helmet,0.275207,178.96,160.23,196.37,173.07
60,2.002000,371,2,helmet,0.594970,289.80,152.00,311.34,171.94
60,2.002000,372,0,person,0.671071,291.19,162.08,330.11,321.68
60,2.002000,373,2,helmet,0.673310,268.29,157.23,289.61,172.18
60,2.002000,374,2,helmet,0.653244,290.57,162.76,315.94,180.56
60,2.002000,33,0,person,0.782307,254.59,156.63,302.67,328.31
60,2.002000,197,0,person,0.790769,199.69,166.97,258.67,330.16
60,2.002000,360,0,person,0.832280,167.16,159.85,215.13,336.87
60,2.002000,380,76,gloves,0.346418,302.47,231.33,314.66,243.67
60,2.002000,390,0,person,0.257198,288.12,151.17,341.72,245.19
61,2.035367,369,2,helmet,0.708583,218.49,168.06,243.51,184.93
61,2.035367,370,2,helmet,0.419501,177.88,160.47,196.67,174.28
61,2.035367,371,2,helmet,0.648725,289.73,152.18,310.42,171.23
61,2.035367,372,0,person,0.676362,290.91,162.92,329.91,322.70
61,2.035367,373,2,helmet,0.640398,267.45,157.51,289.46,172.97
61,2.035367,374,2,helmet,0.650811,290.61,163.43,315.52,181.00
61,2.035367,33,0,person,0.760586,252.44,156.97,301.06,328.71
61,2.035367,197,0,person,0.767783,199.10,167.37,257.66,330.27
61,2.035367,360,0,person,0.818272,166.61,160.04,214.56,337.06
61,2.035367,380,76,gloves,0.354808,302.52,231.64,314.16,243.64
61,2.035367,390,0,person,0.288289,287.78,151.37,341.34,245.49
61,2.035367,375,2,helmet,0.404322,92.52,174.57,105.96,184.70
62,2.068733,369,2,helmet,0.692434,218.45,168.36,243.71,185.35
62,2.068733,370,2,helmet,0.488086,176.82,160.80,196.58,175.30
62,2.068733,371,2,helmet,0.631407,288.94,152.18,309.88,171.42
62,2.068733,372,0,person,0.691197,290.32,163.62,329.36,323.60
62,2.068733,373,2,helmet,0.651445,266.82,157.64,288.87,173.14
62,2.068733,374,2,helmet,0.652798,290.42,163.87,314.84,181.15
62,2.068733,33,0,person,0.765959,252.03,157.15,300.94,329.04
62,2.068733,197,0,person,0.801601,199.58,168.06,257.89,330.24
62,2.068733,360,0,person,0.812463,166.26,160.40,214.12,337.21
62,2.068733,380,76,gloves,0.312175,302.44,231.99,313.90,244.02
62,2.068733,375,2,helmet,0.524773,91.22,174.45,105.33,184.92
63,2.102100,369,2,helmet,0.699459,218.20,168.79,243.73,185.90
63,2.102100,370,2,helmet,0.484921,176.14,161.04,196.35,175.92
63,2.102100,371,2,helmet,0.658318,287.88,152.18,309.28,171.89
63,2.102100,372,0,person,0.701101,289.94,164.25,329.02,324.27
63,2.102100,373,2,helmet,0.646110,266.10,157.98,288.02,173.41
63,2.102100,374,2,helmet,0.646567,289.86,164.20,314.17,181.48
63,2.102100,33,0,person,0.776044,251.96,157.37,300.97,329.30
63,2.102100,197,0,person,0.798692,199.14,168.50,257.49,330.59
63,2.102100,360,0,person,0.805686,165.58,160.63,213.41,337.60
64,2.135467,369,2,helmet,0.698073,217.68,168.84,244.47,186.89
64,2.135467,370,2,helmet,0.320844,175.93,161.46,195.53,175.84
64,2.135467,371,2,helmet,0.671484,286.96,152.20,308.04,171.57
64,2.135467,372,0,person,0.696496,289.83,164.92,328.93,324.60
64,2.135467,373,2,helmet,0.604446,265.40,158.22,287.35,173.74
64,2.135467,374,2,helmet,0.621884,289.17,164.50,313.72,182.07
64,2.135467,33,0,person,0.772001,251.45,157.58,300.53,329.51
64,2.135467,197,0,person,0.774986,198.58,168.59,256.97,330.84
64,2.135467,360,0,person,0.798957,164.69,160.95,212.51,337.80
64,2.135467,390,0,person,0.252173,285.75,151.72,339.56,246.41
65,2.168833,369,2,helmet,0.688911,217.82,169.22,244.20,186.99
65,2.168833,370,2,helmet,0.342048,175.51,162.12,195.04,176.43
65,2.168833,371,2,helmet,0.694806,285.33,152.30,307.43,172.67
65,2.168833,372,0,person,0.687964,290.37,165.35,329.82,324.83
65,2.168833,373,2,helmet,0.623627,264.99,158.72,286.47,173.90
65,2.168833,374,2,helmet,0.630734,288.31,164.70,313.47,182.89
65,2.168833,33,0,person,0.767455,250.56,157.95,299.79,329.81
65,2.168833,197,0,person,0.785827,197.96,169.00,256.32,331.10
65,2.168833,360,0,person,0.814060,163.96,161.55,211.70,338.07
65,2.168833,390,0,person,0.255492,284.88,151.70,338.22,245.41
66,2.202200,369,2,helmet,0.685627,217.75,169.50,244.18,187.33
66,2.202200,370,2,helmet,0.272147,175.31,162.53,194.79,176.76
66,2.202200,371,2,helmet,0.704949,284.19,152.34,306.75,173.27
66,2.202200,372,0,person,0.705964,290.47,165.67,330.45,325.52
66,2.202200,373,2,helmet,0.649188,264.45,158.72,286.00,173.99
66,2.202200,374,2,helmet,0.633029,287.41,164.96,313.05,183.72
66,2.202200,33,0,person,0.767741,249.86,157.91,299.34,330.11
66,2.202200,197,0,person,0.781220,197.01,169.26,255.43,331.30
